CVE_ESCUELA_ATENCION,NOM_ESCUELA_ATENCION,REF_TURNO_ATENCION,REF_CICLO_ESCOLAR,CLAVECCT,NOMBRE_INMUEBLE,NIVEL,alcaldia,longitud,latitud,NUM_MATRICULA_TOTAL_ESCUELA,registros_salud,prioridad_atencion,pct_incompleto,pct_no_asistio,pct_caries,casos_caries,registros_caries,pct_visual,casos_visual,registros_visual,pct_sobrepeso_obesidad,casos_sobrepeso_obesidad,registros_sobrepeso_obesidad,imc_promedio,registros_imc,pct_alertas_multiples,casos_alertas_multiples,registros_alertas_multiples,alertas_promedio,completitud,casos_completos,registros_completitud
09DPR4514N,MITLA,MATUTINO,2024-2025 | 2025-2026,09DPR4514N,MITLA,Primaria,IZTAPALAPA,-99.06536389,19.29063611,365,240,43.3333,0.4167,0,85.4167,205,240,86.25,207,240,44.5833,107,240,19.0169,236,85,204,240,2.1667,99.5833,239,240
09DPR2208S,REPÚBLICA DE ISLANDIA,MATUTINO,2024-2025 | 2025-2026,09DPR2209R,REPÚBLICA DE ISLANDIA,Primaria,VENUSTIANO CARRANZA,-99.08748056,19.44231111,141,136,43.0882,0.7353,0,74.2647,101,136,74.2647,101,136,66.1765,90,136,20.6915,118,80.1471,109,136,2.1544,99.2647,135,136
09DPR1296W,GREGORIO MARIAS,VESPERTINO,2024-2025 | 2025-2026,09DPR1295X,GREGORIO MARÍAS,Primaria,IZTAPALAPA,-99.04033611,19.34008056,174,98,43.0612,1.0204,0,83.6735,82,98,87.7551,86,98,42.8571,42,98,18.9948,96,83.6735,82,98,2.1531,98.9796,97,98
09DPR5021I,AXAYACATL,MATUTINO,2024-2025 | 2025-2026,09DPR5021I,AXAYACATL,Primaria,IZTAPALAPA,-98.99857778,19.337925,583,443,42.6637,0,0,76.7494,340,443,93.9052,416,443,42.6637,189,443,18.5227,440,82.167,364,443,2.1332,100,443,443
09DPR2377N,LORENZA ROSALES,MATUTINO,2025-2026,09DPR2377N,LORENZA ROSALES,Primaria,VENUSTIANO CARRANZA,-99.12542222,19.44951111,158,133,41.9549,0.7519,0,88.7218,118,133,81.9549,109,133,38.3459,51,133,18.7,132,81.203,108,133,2.0977,99.2481,132,133
09DPR4163Z,BENITO PÉREZ GALDOS,MATUTINO,2024-2025 | 2025-2026,09DPR4163Z,BENITO PÉREZ GALDOS,Primaria,IZTAPALAPA,-98.98928333,19.34596111,390,289,41.7993,0.346,0,76.4706,221,289,87.8893,254,289,44.2907,128,289,18.7686,283,84.083,243,289,2.09,99.654,288,289
09DPR5023G,SURINAME,MATUTINO,2024-2025 | 2025-2026,09DPR5023G,SURINAME,Primaria,IZTAPALAPA,-99.07499444,19.31462778,483,383,41.7755,0,0,80.4178,308,383,76.5013,293,383,51.9582,199,383,19.3606,381,81.7232,313,383,2.0888,100,383,383
09DPR2921F,LIC. JOSÉ MA. LAFRAGUA,MATUTINO,2024-2025 | 2025-2026,09DPR2806O,LIC. JOSÉ MA. LAFRAGUA,Primaria,IZTAPALAPA,-99.01598889,19.3567,347,210,41.7143,0.9524,0,69.5238,146,210,87.619,184,210,50.4762,106,210,19.2534,206,80,168,210,2.0857,99.0476,208,210
09DPR2845Q,ANDRÉS MOLINA ENRIQUEZ,MATUTINO,2024-2025 | 2025-2026,09DPR2845Q,ANDRÉS MOLINA ENRIQUEZ,Primaria,IZTAPALAPA,-99.02286111,19.34256111,609,476,41.6807,0.2101,0,73.3193,349,476,81.0924,386,476,53.7815,256,476,19.6099,474,78.9916,376,476,2.084,99.7899,475,476
09DPR1050C,INSURGENTE PEDRO MORENO,VESPERTINO,2024-2025 | 2025-2026,09DPR1049N,INSURGENTE PEDRO MORENO,Primaria,IZTAPALAPA,-99.05126389,19.38991944,113,73,41.6438,1.3699,0,79.4521,58,73,82.1918,60,73,45.2055,33,73,19.1324,71,79.4521,58,73,2.0822,98.6301,72,73
09DPR5022H,AXAYACATL,VESPERTINO,2024-2025 | 2025-2026,09DPR5021I,AXAYACATL,Primaria,IZTAPALAPA,-98.99857778,19.337925,377,196,41.6327,0.5102,0,86.7347,170,196,81.6327,160,196,39.2857,77,196,19.1155,194,82.6531,162,196,2.0816,99.4898,195,196
09DPR1148N,ALBERTO MASFERRER,MATUTINO,2024-2025 | 2025-2026,09DPR1148N,ALBERTO MASFERRER,Primaria,IZTAPALAPA,-99.11871944,19.36605278,241,149,41.4765,0.6711,0,59.0604,88,149,92.6174,138,149,55.0336,82,149,19.9028,144,81.2081,121,149,2.0738,99.3289,148,149
09DPR0953K,ANAHUAXOCHITL,MATUTINO,2024-2025 | 2025-2026,09DPR0953K,ANAHUAXOCHITL,Primaria,VENUSTIANO CARRANZA,-99.09513889,19.43733889,241,210,41.4286,9.0476,0,70,147,210,81.9048,172,210,46.1905,97,210,19.8048,189,77.1429,162,210,2.0714,90.9524,191,210
09DPR3298H,PROFRA. MARÍA HAZAS VARGAS,MATUTINO,2024-2025 | 2025-2026,09DPR3299G,PROFRA. MARÍA HAZAS VARGAS,Primaria,IZTAPALAPA,-98.99517778,19.34689722,359,244,41.2295,0.4098,0,79.5082,194,244,77.8689,190,244,48.3607,118,244,19.3033,241,79.0984,193,244,2.0615,99.5902,243,244
09DPR5049O,WILFRIDO MASSIEU,MATUTINO,2024-2025 | 2025-2026,09DPR2999T,WILFRIDO MASSIEU,Primaria,COYOACÁN,-99.16686111,19.33138333,491,199,41.206,1.5075,0,70.3518,140,199,82.4121,164,199,51.7588,103,199,18.9722,194,79.397,158,199,2.0603,98.4925,196,199
09DPR5046R,JESUS SOTELO INCLAN,MATUTINO,2024-2025 | 2025-2026,09PJN3286R,JESUS SOTELO INCLAN,Preescolar,XOCHIMILCO,-99.111312,19.222989,267,284,40.9155,20.0704,0,72.5352,206,284,73.2394,208,284,38.7324,110,284,18.9018,226,73.2394,208,284,2.0458,79.9296,227,284
09DPR3081J,REPÚBLICA SOCIALISTA DE VIETNAM,VESPERTINO,2024-2025 | 2025-2026,09DPR3081J,REPÚBLICA SOCIALISTA DE VIETNAM,Primaria,IZTAPALAPA,-99.01765278,19.339725,339,188,40.8511,0.5319,0,75.5319,142,188,83.5106,157,188,44.6809,84,188,19.2449,187,73.4043,138,188,2.0426,99.4681,187,188
09DPR5026D,MITLA,VESPERTINO,2024-2025 | 2025-2026,09DPR4514N,MITLA,Primaria,IZTAPALAPA,-99.06536389,19.29063611,124,69,40.5797,0,0,92.7536,64,69,73.913,51,69,36.2319,25,69,18.1328,67,79.7101,55,69,2.029,100,69,69
09DPR2764F,FRANCISCO DEL PASO Y TRONCOSO,MATUTINO,2024-2025 | 2025-2026,09DPR2764F,FRANCISCO DEL PASO Y TRONCOSO,Primaria,IZTAPALAPA,-99.07276667,19.30278333,422,253,40.5534,0.3953,0,65.2174,165,253,84.9802,215,253,52.1739,132,253,19.3841,252,79.4466,201,253,2.0277,99.6047,252,253
