CVE_ESCUELA_ATENCION,NOM_ESCUELA_ATENCION,REF_TURNO_ATENCION,REF_CICLO_ESCOLAR,prioridad_atencion,pct_incompleto,pct_caries,pct_visual,pct_sobrepeso_obesidad,imc_promedio,NUM_MATRICULA_TOTAL_ESCUELA_x,alertas_promedio,NUM_MATRICULA_TOTAL_ESCUELA_y,CLAVECCT,NOMBRE,longitud,latitud,alcaldia,NIVEL,completitud
09DPR4514N,MITLA,MATUTINO,2024-2025 | 2025-2026,43.3333,0.4167,85.4167,86.25,44.5833,19.0169,365.0,85.0,365,09DPR4514N,MITLA,-99.06536389,19.29063611,IZTAPALAPA,Primaria,99.5833
09DPR2208S,REPÚBLICA DE ISLANDIA,MATUTINO,2024-2025 | 2025-2026,43.0882,0.7353,74.2647,74.2647,66.1765,20.6915,141.0,80.1471,141,09DPR2209R,REPÚBLICA DE ISLANDIA,-99.08748056,19.44231111,VENUSTIANO CARRANZA,Primaria,99.2647
09DPR1296W,GREGORIO MARIAS,VESPERTINO,2024-2025 | 2025-2026,43.0612,1.0204,83.6735,87.7551,42.8571,18.9948,174.0,83.6735,174,09DPR1295X,GREGORIO MARÍAS,-99.04033611,19.34008056,IZTAPALAPA,Primaria,98.9796
09DPR5021I,AXAYACATL,MATUTINO,2024-2025 | 2025-2026,42.6637,0.0,76.7494,93.9052,42.6637,18.5227,583.0,82.167,583,09DPR5021I,AXAYACATL,-98.99857778,19.337925,IZTAPALAPA,Primaria,100.0
09DPR2377N,LORENZA ROSALES,MATUTINO,2025-2026,41.9549,0.7519,88.7218,81.9549,38.3459,18.7,158.0,81.203,158,09DPR2377N,LORENZA ROSALES,-99.12542222,19.44951111,VENUSTIANO CARRANZA,Primaria,99.2481
09DPR4163Z,BENITO PÉREZ GALDOS,MATUTINO,2024-2025 | 2025-2026,41.7993,0.346,76.4706,87.8893,44.2907,18.7686,390.0,84.083,390,09DPR4163Z,BENITO PÉREZ GALDOS,-98.98928333,19.34596111,IZTAPALAPA,Primaria,99.654
09DPR5023G,SURINAME,MATUTINO,2024-2025 | 2025-2026,41.7755,0.0,80.4178,76.5013,51.9582,19.3606,483.0,81.7232,483,09DPR5023G,SURINAME,-99.07499444,19.31462778,IZTAPALAPA,Primaria,100.0
09DPR2921F,LIC. JOSÉ MA. LAFRAGUA,MATUTINO,2024-2025 | 2025-2026,41.7143,0.9524,69.5238,87.619,50.4762,19.2534,347.0,80.0,347,09DPR2806O,LIC. JOSÉ MA. LAFRAGUA,-99.01598889,19.3567,IZTAPALAPA,Primaria,99.0476
09DPR2845Q,ANDRÉS MOLINA ENRIQUEZ,MATUTINO,2024-2025 | 2025-2026,41.6807,0.2101,73.3193,81.0924,53.7815,19.6099,609.0,78.9916,609,09DPR2845Q,ANDRÉS MOLINA ENRIQUEZ,-99.02286111,19.34256111,IZTAPALAPA,Primaria,99.7899
09DPR1050C,INSURGENTE PEDRO MORENO,VESPERTINO,2024-2025 | 2025-2026,41.6438,1.3699,79.4521,82.1918,45.2055,19.1324,113.0,79.4521,113,09DPR1049N,INSURGENTE PEDRO MORENO,-99.05126389,19.38991944,IZTAPALAPA,Primaria,98.6301
